Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ChooseList/ExMemory 0/ExMemory 100/ExMemory 1500,1.2849279684089539e-6,1.2493391725187213e-6,1.3368468371093014e-6,1.5233272004608953e-7,1.1318014834375976e-7,1.9138305235764613e-7
ChooseList/ExMemory 0/ExMemory 100/ExMemory 3000,1.0716234955290672e-6,1.021247217950727e-6,1.2119183945012968e-6,2.6397070803035864e-7,1.1759164575466913e-7,5.11220665168874e-7
ChooseList/ExMemory 0/ExMemory 100/ExMemory 5000,1.1611769423788664e-6,1.1388078235608342e-6,1.185195247313457e-6,8.024074087071402e-8,6.901021533914829e-8,1.0062653628476422e-7
ChooseList/ExMemory 0/ExMemory 500/ExMemory 100,1.1914552285766142e-6,1.1596397735084424e-6,1.2319740336341464e-6,1.1523076890768661e-7,8.386675424962058e-8,1.7311048718714265e-7
ChooseList/ExMemory 0/ExMemory 500/ExMemory 500,1.1969214249103573e-6,1.1877156603057246e-6,1.2239852673762066e-6,4.798771623064686e-8,1.9316376596187624e-8,9.45779040383529e-8
ChooseList/ExMemory 0/ExMemory 500/ExMemory 1500,1.2308798208524275e-6,1.2060270173124961e-6,1.2670845827699607e-6,1.0547942911022022e-7,3.524812763647936e-8,1.6620836839775596e-7
ChooseList/ExMemory 0/ExMemory 500/ExMemory 3000,1.2738554519053883e-6,1.2410700966628217e-6,1.3371635020771995e-6,1.4833810268877777e-7,1.0126421627514456e-7,2.1171984537757953e-7
ChooseList/ExMemory 0/ExMemory 500/ExMemory 5000,1.2415738068770344e-6,1.2064193640596785e-6,1.282621006052346e-6,1.2362259446232978e-7,8.980832006059698e-8,1.5798559358975971e-7
ChooseList/ExMemory 0/ExMemory 1500/ExMemory 100,1.0813422086956361e-6,1.0495295317877975e-6,1.1107825404272657e-6,1.1971824258253978e-7,1.0918175760378542e-7,1.3345613541959507e-7
ChooseList/ExMemory 0/ExMemory 1500/ExMemory 500,1.010944504597152e-6,9.839497405002069e-7,1.0497124189206554e-6,1.0529581296081148e-7,8.619736970434672e-8,1.3706719761917192e-7
ChooseList/ExMemory 0/ExMemory 1500/ExMemory 1500,1.2859509437354597e-6,1.250162824408263e-6,1.3543207832144726e-6,1.6156264376998098e-7,1.2050388325768243e-7,2.2832239920154748e-7
ChooseList/ExMemory 0/ExMemory 1500/ExMemory 3000,1.1106494916271498e-6,1.0733895539573775e-6,1.1545071628791902e-6,1.3218688341571137e-7,1.1030102265989223e-7,1.6768348047548324e-7
ChooseList/ExMemory 0/ExMemory 1500/ExMemory 5000,1.1833538168620207e-6,1.1455860803951172e-6,1.227646376099903e-6,1.374246788284506e-7,1.0090977676021877e-7,1.781352996447552e-7
ChooseList/ExMemory 0/ExMemory 3000/ExMemory 100,1.1620757118611061e-6,1.1346681227165588e-6,1.202007476300696e-6,1.215081891203957e-7,8.477373271163606e-8,1.81896925009912e-7
ChooseList/ExMemory 0/ExMemory 3000/ExMemory 500,1.2144020227200607e-6,1.1769006748362786e-6,1.264502344908644e-6,1.4860281237597554e-7,1.099346478826409e-7,2.1029135447816712e-7
ChooseList/ExMemory 0/ExMemory 3000/ExMemory 1500,1.1940519946353764e-6,1.1370204460668607e-6,1.3537182964032772e-6,2.708249104706993e-7,1.9231219140186815e-7,4.157842229442483e-7
ChooseList/ExMemory 0/ExMemory 3000/ExMemory 3000,1.231352651373961e-6,1.1971132226061192e-6,1.2872079034462332e-6,1.4541834319115748e-7,9.81065888916023e-8,2.0596576115820213e-7
ChooseList/ExMemory 0/ExMemory 3000/ExMemory 5000,1.191828083530211e-6,1.1407424694482009e-6,1.2610898421758774e-6,2.1597412084598674e-7,1.350173943143602e-7,3.4816170636397536e-7
ChooseList/ExMemory 0/ExMemory 5000/ExMemory 100,9.631751094822787e-7,9.499536292888338e-7,9.879313141295804e-7,6.758758358453687e-8,4.4845494211115585e-8,1.0482199905497516e-7
ChooseList/ExMemory 0/ExMemory 5000/ExMemory 500,1.1892163450041743e-6,1.1156458359765963e-6,1.4392965983208723e-6,4.0210738806649033e-7,1.309408250584283e-7,8.255178960148269e-7
ChooseList/ExMemory 0/ExMemory 5000/ExMemory 1500,1.0800023316519622e-6,1.0425025983481001e-6,1.1412446593690566e-6,1.6195568092166462e-7,1.3929737591094303e-7,2.2447401228101456e-7
ChooseList/ExMemory 0/ExMemory 5000/ExMemory 3000,1.0588071157789756e-6,1.0342772968536913e-6,1.0927636150208177e-6,1.0527924996218456e-7,8.821957567832422e-8,1.3575186777011733e-7
ChooseList/ExMemory 0/ExMemory 5000/ExMemory 5000,1.1067015959188979e-6,1.0572324852985203e-6,1.167627487145493e-6,1.625723961967603e-7,1.3291714329889737e-7,2.2153772159450146e-7
ChooseList/ExMemory 0/ExMemory 100/ExMemory 100,1.132786564468938e-6,1.1060174485102262e-6,1.1539283666522309e-6,8.609752225118993e-8,6.139706338007781e-8,1.0420455416203923e-7
ChooseList/ExMemory 0/ExMemory 100/ExMemory 500,1.2044604407357353e-6,1.1661773577796448e-6,1.2710785790315752e-6,1.7222800898260984e-7,9.467451393267748e-8,2.959736550682403e-7
ChooseList/ExMemory 0/ExMemory 100/ExMemory 1500,1.1888705396543564e-6,1.1507657702258041e-6,1.2438532508387097e-6,1.5487102094964914e-7,1.088947756999421e-7,2.256441371402504e-7
ChooseList/ExMemory 0/ExMemory 100/ExMemory 3000,1.1115174605702966e-6,1.0813868442030688e-6,1.134419118390468e-6,9.34897812634454e-8,7.945820548290964e-8,1.2494255859985213e-7
ChooseList/ExMemory 0/ExMemory 100/ExMemory 5000,1.1822020263990317e-6,1.1560055420046354e-6,1.2237333079757534e-6,9.963286744068992e-8,4.9588794533834967e-8,1.7732551710888477e-7
ChooseList/ExMemory 0/ExMemory 500/ExMemory 100,1.253946152236653e-6,1.2119510806059375e-6,1.324715011671922e-6,1.6102586561960088e-7,1.22768441480018e-7,2.018074325109814e-7
ChooseList/ExMemory 0/ExMemory 500/ExMemory 500,1.1307003404392912e-6,1.0874525547937108e-6,1.1657499095274055e-6,1.191219812681878e-7,9.56481998376142e-8,1.3205161243047656e-7
